24A4B56	13	1045032210	6
31	8	27	9
4212525	6	23012401	5
11011111	2	ED	15
2252	9	11415	6
66	7	110000	2
531073	8	101011001000111011	2
53	6	201	4
20022000	3	6260	9
1305433	6	16189	15
503368186	10	2012330240221	5
23	9	210	3
323031	4	ECD	16
77256576	9	216402115	8
386405820	9	102220110012220200	3
949	11	101312	4
792BC7C	16	36674450	12
0	2	0	10
0	10	0	2
0	16	0	8
11111111	2	255	10
10000000	2	80	16
123456789	10	75BCD15	16
ABCDEF	16	11259375	10
777777	8	262143	10
1234567	8	53977	16
1	2	1	10
1	10	1	2
1	16	1	8
23	6	15	10
10101010	2	252	8
12121212	3	5555	9
20202020	3	1030320	4
87654321	10	5397FB1	16
11111111111111111111	2	1048575	10
7FFFFFFF	16	2147483647	10
FFFF	16	1111111111111111	2
10000	10	2710	16
99999	10	303237	8
12345678	9	6053444	10
100	2	4	10
100	8	64	10
100	10	64	16
100	16	256	10
2147483647	10	7FFFFFFF	16
101010	2	1120	3
202020	3	1000100010	2
1111111111111111	2	FFFF	16
1A2B3C	16	1715004	10
13579	10	350B	16
2468	10	4644	8
147	8	1100111	2
258	9	21222	3
369	10	11301	4
A0B0C0	16	10531008	10
881A361A	11	322104211212	5
7A92A01	11	48A2B73	12
1A97A49B4	13	11022311133124	5
1201111002	3	23507	11
9199	11	5731	13
30	12	36	10
5102235	7	605862	10
3024123	7	200020201020	3
11333	4	465	9
876385314	9	12306540655	7
11010	3	11010	3
23	7	25	6
6DD30B4	16	12313103002310	4
39723	12	231713	8
58522720	9	24242224113	5
30401C8	14	22742644	10
6930B752	13	1330243243204	5
111	2	7	16
70C2	13	444122	5
30606	7	1110101001111	2
ECF	16	154B	14
241212343	5	10100212312	4
28009770	13	E621D03	15
4F0A	16	14225	11
639	10	453	12
64D2AC	14	4775D4	15
45403	6	190B	16
1111	2	15	10
2222	3	80	10
3333	4	255	10
4444	5	624	10
5555	6	1295	10
6666	7	2400	10
7777	8	4095	10
8888	9	6560	10
9999	10	9999	10
AAAA	11	14640	10
BBBB	12	20735	10
CCCC	13	28560	10
DDDD	14	38415	10
EEEE	15	50624	10
FFFF	16	65535	10
10	2	2	10
10	3	3	10
10	4	4	10
10	5	5	10
10	6	6	10
10	7	7	10
10	8	8	10
10	9	9	10
10	10	10	10
10	11	11	10
10	12	12	10
10	13	13	10
10	14	14	10
10	15	15	10
10	16	16	10
11	2	10	3
22	3	20	4
33	4	30	5
